structure,method,size,total_time,avgiter,avgaccess,opt
vector,std::for_each,1000,169903,16,0,3
array,index,50,1075280,107,2,0
vector,index,50,4819846,481,9,0
vector,iterator,50,7566293,756,15,0
vector,for_each,50,4233555,423,8,0
array,random,50,4267617,426,8,0
vector,random,50,7419362,741,14,0
array,index,1000,20883882,2088,2,0
vector,index,1000,90846991,9084,9,0
vector,iterator,1000,143953365,14395,14,0
vector,for_each,1000,70978696,7097,7,0
array,random,1000,79286308,7928,7,0
vector,random,1000,137327868,13732,13,0
vector,std::for_each,50,4561890,456,9,0
vector,std::for_each,1000,83545848,8354,8,0
array,index,50,289350,28,0,1
vector,index,50,388615,38,0,1
vector,iterator,50,287924,28,0,1
vector,for_each,50,294647,29,0,1
array,random,50,3307353,330,6,1
vector,random,50,4199921,419,8,1
array,index,1000,5369071,536,0,1
vector,index,1000,7745090,774,0,1
vector,iterator,1000,2751696,275,0,1
vector,for_each,1000,5225180,522,0,1
array,random,1000,69144725,6914,6,1
vector,random,1000,76378914,7637,7,1
vector,std::for_each,50,291735,29,0,1
vector,std::for_each,1000,5225137,522,0,1
array,index,50,163591,16,0,2
vector,index,50,322699,32,0,2
vector,iterator,50,163751,16,0,2
vector,for_each,50,165461,16,0,2
array,random,50,3705824,370,7,2
vector,random,50,3621418,362,7,2
array,index,1000,173150,17,0,2
vector,index,1000,2952201,295,0,2
vector,iterator,1000,167843,16,0,2
vector,for_each,1000,172987,17,0,2
array,random,1000,61702392,6170,6,2
vector,random,1000,76289329,7628,7,2
vector,std::for_each,50,168762,16,0,2
vector,std::for_each,1000,166893,16,0,2
array,index,50,163589,16,0,3
vector,index,50,323799,32,0,3
vector,iterator,50,167899,16,0,3
vector,for_each,50,167688,16,0,3
array,random,50,3678913,367,7,3
vector,random,50,3712322,371,7,3
array,index,1000,167882,16,0,3
vector,index,1000,2876645,287,0,3
vector,iterator,1000,167910,16,0,3
vector,for_each,1000,167783,16,0,3
array,random,1000,62066292,6206,6,3
vector,random,1000,78923716,7892,7,3
vector,std::for_each,50,169635,16,0,3
vector,std::for_each,1000,168087,16,0,3
array,index,50,1104830,110,2,0
vector,index,50,4927978,492,9,0
vector,iterator,50,7759798,775,15,0
vector,for_each,50,4124734,412,8,0
array,random,50,4161406,416,8,0
vector,random,50,7232925,723,14,0
array,index,1000,20747084,2074,2,0
vector,index,1000,89890599,8989,8,0
vector,iterator,1000,143574703,14357,14,0
vector,for_each,1000,69174324,6917,6,0
array,random,1000,77979825,7797,7,0
vector,random,1000,135709479,13570,13,0
vector,std::for_each,50,4462533,446,8,0
vector,std::for_each,1000,81243324,8124,8,0
array,index,50,293833,29,0,1
vector,index,50,388693,38,0,1
vector,iterator,50,295586,29,0,1
vector,for_each,50,294567,29,0,1
array,random,50,3388127,338,6,1
vector,random,50,4194190,419,8,1
array,index,1000,5331870,533,0,1
vector,index,1000,7905995,790,0,1
vector,iterator,1000,2830866,283,0,1
vector,for_each,1000,5364337,536,0,1
array,random,1000,71965286,7196,7,1
vector,random,1000,76915383,7691,7,1
vector,std::for_each,50,291713,29,0,1
vector,std::for_each,1000,5206776,520,0,1
array,index,50,163667,16,0,2
vector,index,50,323065,32,0,2
vector,iterator,50,162912,16,0,2
vector,for_each,50,165548,16,0,2
array,random,50,3677145,367,7,2
vector,random,50,3727857,372,7,2
array,index,1000,178961,17,0,2
vector,index,1000,3025256,302,0,2
vector,iterator,1000,167897,16,0,2
vector,for_each,1000,167722,16,0,2
array,random,1000,62054989,6205,6,2
vector,random,1000,76680716,7668,7,2
vector,std::for_each,50,169350,16,0,2
vector,std::for_each,1000,165275,16,0,2
array,index,50,163543,16,0,3
vector,index,50,327087,32,0,3
vector,iterator,50,167889,16,0,3
vector,for_each,50,167882,16,0,3
array,random,50,3786514,378,7,3
vector,random,50,3924748,392,7,3
array,index,1000,171648,17,0,3
vector,index,1000,2942574,294,0,3
vector,iterator,1000,172251,17,0,3
vector,for_each,1000,172164,17,0,3
array,random,1000,62255477,6225,6,3
vector,random,1000,79356254,7935,7,3
vector,std::for_each,50,169645,16,0,3
vector,std::for_each,1000,168038,16,0,3
array,index,50,1044902,104,2,0
vector,index,50,4686715,468,9,0
vector,iterator,50,7575317,757,15,0
vector,for_each,50,4118124,411,8,0
array,random,50,4163585,416,8,0
vector,random,50,7235109,723,14,0
array,index,1000,20343694,2034,2,0
vector,index,1000,89153261,8915,8,0
vector,iterator,1000,143437421,14343,14,0
vector,for_each,1000,69228657,6922,6,0
array,random,1000,79731179,7973,7,0
vector,random,1000,136959155,13695,13,0
vector,std::for_each,50,4591447,459,9,0
vector,std::for_each,1000,83353955,8335,8,0
array,index,50,289362,28,0,1
vector,index,50,398533,39,0,1
vector,iterator,50,295854,29,0,1
vector,for_each,50,287269,28,0,1
array,random,50,3254551,325,6,1
vector,random,50,4097522,409,8,1
array,index,1000,5195380,519,0,1
vector,index,1000,7709804,770,0,1
vector,iterator,1000,2753204,275,0,1
vector,for_each,1000,5336952,533,0,1
array,random,1000,69609874,6960,6,1
vector,random,1000,76319021,7631,7,1
vector,std::for_each,50,290715,29,0,1
vector,std::for_each,1000,5205819,520,0,1
array,index,50,165368,16,0,2
vector,index,50,327268,32,0,2
vector,iterator,50,163698,16,0,2
vector,for_each,50,162324,16,0,2
array,random,50,3680455,368,7,2
vector,random,50,3711138,371,7,2
array,index,1000,167448,16,0,2
vector,index,1000,2876133,287,0,2
vector,iterator,1000,167867,16,0,2
vector,for_each,1000,167715,16,0,2
array,random,1000,60463847,6046,6,2
vector,random,1000,76377041,7637,7,2
vector,std::for_each,50,185414,18,0,2
vector,std::for_each,1000,209241,20,0,2
array,index,50,175208,17,0,3
vector,index,50,318289,31,0,3
vector,iterator,50,174354,17,0,3
vector,for_each,50,167886,16,0,3
array,random,50,3677702,367,7,3
vector,random,50,3712860,371,7,3
array,index,1000,167723,16,0,3
vector,index,1000,2999499,299,0,3
vector,iterator,1000,167833,16,0,3
vector,for_each,1000,167839,16,0,3
array,random,1000,62147839,6214,6,3
vector,random,1000,81099801,8109,8,3
vector,std::for_each,50,171372,17,0,3
vector,std::for_each,1000,167630,16,0,3
array,index,50,1039866,103,2,0
vector,index,50,4665556,466,9,0
vector,iterator,50,7622276,762,15,0
vector,for_each,50,4112062,411,8,0
array,random,50,4160776,416,8,0
vector,random,50,7228877,722,14,0
array,index,1000,20718307,2071,2,0
vector,index,1000,90735390,9073,9,0
vector,iterator,1000,144878926,14487,14,0
vector,for_each,1000,71074948,7107,7,0
array,random,1000,79896998,7989,7,0
vector,random,1000,137009877,13700,13,0
vector,std::for_each,50,4539553,453,9,0
vector,std::for_each,1000,81408300,8140,8,0
array,index,50,289380,28,0,1
vector,index,50,398570,39,0,1
vector,iterator,50,297906,29,0,1
vector,for_each,50,294880,29,0,1
array,random,50,3221759,322,6,1
vector,random,50,4078742,407,8,1
array,index,1000,5200122,520,0,1
vector,index,1000,7967268,796,0,1
vector,iterator,1000,2828961,282,0,1
vector,for_each,1000,5199770,519,0,1
array,random,1000,70343999,7034,7,1
vector,random,1000,76660224,7666,7,1
vector,std::for_each,50,306209,30,0,1
vector,std::for_each,1000,5209116,520,0,1
array,index,50,167695,16,0,2
vector,index,50,327462,32,0,2
vector,iterator,50,167035,16,0,2
vector,for_each,50,165364,16,0,2
array,random,50,3677719,367,7,2
vector,random,50,3606883,360,7,2
array,index,1000,167872,16,0,2
vector,index,1000,2954840,295,0,2
vector,iterator,1000,170747,17,0,2
vector,for_each,1000,167750,16,0,2
array,random,1000,61905956,6190,6,2
vector,random,1000,80523758,8052,8,2
vector,std::for_each,50,172345,17,0,2
vector,std::for_each,1000,173348,17,0,2
array,index,50,184213,18,0,3
vector,index,50,335923,33,0,3
vector,iterator,50,166775,16,0,3
vector,for_each,50,167761,16,0,3
array,random,50,3677894,367,7,3
vector,random,50,3623034,362,7,3
array,index,1000,167700,16,0,3
vector,index,1000,2877793,287,0,3
vector,iterator,1000,167968,16,0,3
vector,for_each,1000,167665,16,0,3
array,random,1000,60258577,6025,6,3
vector,random,1000,77022883,7702,7,3
vector,std::for_each,50,163657,16,0,3
vector,std::for_each,1000,163788,16,0,3
array,index,50,1043572,104,2,0
vector,index,50,4676340,467,9,0
vector,iterator,50,7596050,759,15,0
vector,for_each,50,4114928,411,8,0
array,random,50,4166528,416,8,0
vector,random,50,7225563,722,14,0
array,index,1000,20611074,2061,2,0
vector,index,1000,89685389,8968,8,0
vector,iterator,1000,143434674,14343,14,0
vector,for_each,1000,71592275,7159,7,0
array,random,1000,79845251,7984,7,0
vector,random,1000,136972423,13697,13,0
vector,std::for_each,50,4566373,456,9,0
vector,std::for_each,1000,81466169,8146,8,0
array,index,50,289420,28,0,1
vector,index,50,398691,39,0,1
vector,iterator,50,362880,36,0,1
vector,for_each,50,287285,28,0,1
array,random,50,3313813,331,6,1
vector,random,50,4342003,434,8,1
array,index,1000,5330876,533,0,1
vector,index,1000,7739997,773,0,1
vector,iterator,1000,2752338,275,0,1
vector,for_each,1000,5201557,520,0,1
array,random,1000,72936527,7293,7,1
vector,random,1000,77186376,7718,7,1
vector,std::for_each,50,291743,29,0,1
vector,std::for_each,1000,5206838,520,0,1
array,index,50,161769,16,0,2
vector,index,50,324757,32,0,2
vector,iterator,50,167339,16,0,2
vector,for_each,50,166181,16,0,2
array,random,50,3678200,367,7,2
vector,random,50,3712961,371,7,2
array,index,1000,177836,17,0,2
vector,index,1000,3023615,302,0,2
vector,iterator,1000,167880,16,0,2
vector,for_each,1000,167750,16,0,2
array,random,1000,61823756,6182,6,2
vector,random,1000,78248586,7824,7,2
vector,std::for_each,50,167880,16,0,2
vector,std::for_each,1000,167995,16,0,2
array,index,50,169706,16,0,3
vector,index,50,332165,33,0,3
vector,iterator,50,167688,16,0,3
vector,for_each,50,173262,17,0,3
array,random,50,3678196,367,7,3
vector,random,50,3619928,361,7,3
array,index,1000,163636,16,0,3
vector,index,1000,2948203,294,0,3
vector,iterator,1000,168006,16,0,3
vector,for_each,1000,167735,16,0,3
array,random,1000,61355960,6135,6,3
vector,random,1000,81757807,8175,8,3
vector,std::for_each,50,163616,16,0,3
vector,std::for_each,1000,165390,16,0,3
array,index,50,1086735,108,2,0
vector,index,50,4792170,479,9,0
vector,iterator,50,7524021,752,15,0
vector,for_each,50,4227487,422,8,0
array,random,50,4273179,427,8,0
vector,random,50,7621878,762,15,0
array,index,1000,21208258,2120,2,0
vector,index,1000,90907996,9090,9,0
vector,iterator,1000,162385152,16238,16,0
vector,for_each,1000,69413895,6941,6,0
array,random,1000,80259282,8025,8,0
vector,random,1000,136456088,13645,13,0
vector,std::for_each,50,4478738,447,8,0
vector,std::for_each,1000,81393009,8139,8,0
array,index,50,282128,28,0,1
vector,index,50,388698,38,0,1
vector,iterator,50,297410,29,0,1
vector,for_each,50,296620,29,0,1
array,random,50,3242741,324,6,1
vector,random,50,4106139,410,8,1
array,index,1000,5199765,519,0,1
vector,index,1000,7707042,770,0,1
vector,iterator,1000,2750115,275,0,1
vector,for_each,1000,5345119,534,0,1
array,random,1000,69854902,6985,6,1
vector,random,1000,76480111,7648,7,1
vector,std::for_each,50,291898,29,0,1
vector,std::for_each,1000,5205892,520,0,1
array,index,50,165941,16,0,2
vector,index,50,331066,33,0,2
vector,iterator,50,167320,16,0,2
vector,for_each,50,169737,16,0,2
array,random,50,3903823,390,7,2
vector,random,50,3816892,381,7,2
array,index,1000,168606,16,0,2
vector,index,1000,2953516,295,0,2
vector,iterator,1000,167905,16,0,2
vector,for_each,1000,167621,16,0,2
array,random,1000,61833156,6183,6,2
vector,random,1000,77963579,7796,7,2
vector,std::for_each,50,163703,16,0,2
vector,std::for_each,1000,163748,16,0,2
array,index,50,163651,16,0,3
vector,index,50,327523,32,0,3
vector,iterator,50,167981,16,0,3
vector,for_each,50,171413,17,0,3
array,random,50,3677989,367,7,3
vector,random,50,3711293,371,7,3
array,index,1000,163560,16,0,3
vector,index,1000,2946931,294,0,3
vector,iterator,1000,167855,16,0,3
vector,for_each,1000,167803,16,0,3
array,random,1000,61702460,6170,6,3
vector,random,1000,77248583,7724,7,3
vector,std::for_each,50,163658,16,0,3
vector,std::for_each,1000,165551,16,0,3
array,index,50,1062089,106,2,0
vector,index,50,4783395,478,9,0
vector,iterator,50,7555993,755,15,0
vector,for_each,50,4117500,411,8,0
array,random,50,4184813,418,8,0
vector,random,50,7227190,722,14,0
array,index,1000,20409896,2040,2,0
vector,index,1000,89590391,8959,8,0
vector,iterator,1000,146766728,14676,14,0
vector,for_each,1000,72404904,7240,7,0
array,random,1000,79982300,7998,7,0
vector,random,1000,136828219,13682,13,0
vector,std::for_each,50,4556094,455,9,0
vector,std::for_each,1000,83459213,8345,8,0
array,index,50,291324,29,0,1
vector,index,50,398987,39,0,1
vector,iterator,50,294718,29,0,1
vector,for_each,50,287284,28,0,1
array,random,50,3307951,330,6,1
vector,random,50,4081871,408,8,1
array,index,1000,5198222,519,0,1
vector,index,1000,7707496,770,0,1
vector,iterator,1000,2750421,275,0,1
vector,for_each,1000,5337573,533,0,1
array,random,1000,71171488,7117,7,1
vector,random,1000,76595089,7659,7,1
vector,std::for_each,50,299488,29,0,1
vector,std::for_each,1000,5351154,535,0,1
array,index,50,182037,18,0,2
vector,index,50,330947,33,0,2
vector,iterator,50,167327,16,0,2
vector,for_each,50,166915,16,0,2
array,random,50,3803375,380,7,2
vector,random,50,3723888,372,7,2
array,index,1000,161122,16,0,2
vector,index,1000,2870371,287,0,2
vector,iterator,1000,167024,16,0,2
vector,for_each,1000,167763,16,0,2
array,random,1000,61704768,6170,6,2
vector,random,1000,76362753,7636,7,2
vector,std::for_each,50,168172,16,0,2
vector,std::for_each,1000,165351,16,0,2
array,index,50,163535,16,0,3
vector,index,50,322685,32,0,3
vector,iterator,50,163177,16,0,3
vector,for_each,50,174738,17,0,3
array,random,50,3587714,358,7,3
vector,random,50,3620330,362,7,3
array,index,1000,163667,16,0,3
vector,index,1000,2951590,295,0,3
vector,iterator,1000,167983,16,0,3
vector,for_each,1000,163670,16,0,3
array,random,1000,60723354,6072,6,3
vector,random,1000,79752855,7975,7,3
vector,std::for_each,50,167935,16,0,3
vector,std::for_each,1000,169641,16,0,3
array,index,50,1064248,106,2,0
vector,index,50,4796048,479,9,0
vector,iterator,50,7846115,784,15,0
vector,for_each,50,4226248,422,8,0
array,random,50,4166368,416,8,0
vector,random,50,7230282,723,14,0
array,index,1000,20236541,2023,2,0
vector,index,1000,90867996,9086,9,0
vector,iterator,1000,145771153,14577,14,0
vector,for_each,1000,73221972,7322,7,0
array,random,1000,79671828,7967,7,0
vector,random,1000,134906878,13490,13,0
vector,std::for_each,50,4483268,448,8,0
vector,std::for_each,1000,81300212,8130,8,0
array,index,50,288119,28,0,1
vector,index,50,388654,38,0,1
vector,iterator,50,288409,28,0,1
vector,for_each,50,297289,29,0,1
array,random,50,3327970,332,6,1
vector,random,50,4174987,417,8,1
array,index,1000,5328943,532,0,1
vector,index,1000,7955763,795,0,1
vector,iterator,1000,2822986,282,0,1
vector,for_each,1000,5333915,533,0,1
array,random,1000,71960779,7196,7,1
vector,random,1000,77295474,7729,7,1
vector,std::for_each,50,291744,29,0,1
vector,std::for_each,1000,5206872,520,0,1
array,index,50,165419,16,0,2
vector,index,50,323243,32,0,2
vector,iterator,50,163052,16,0,2
vector,for_each,50,170864,17,0,2
array,random,50,3677198,367,7,2
vector,random,50,3713197,371,7,2
array,index,1000,170710,17,0,2
vector,index,1000,2881420,288,0,2
vector,iterator,1000,173124,17,0,2
vector,for_each,1000,167775,16,0,2
array,random,1000,61482612,6148,6,2
vector,random,1000,76232168,7623,7,2
vector,std::for_each,50,163703,16,0,2
vector,std::for_each,1000,164306,16,0,2
array,index,50,167780,16,0,3
vector,index,50,331050,33,0,3
vector,iterator,50,167799,16,0,3
vector,for_each,50,167794,16,0,3
array,random,50,3676613,367,7,3
vector,random,50,3725753,372,7,3
array,index,1000,181238,18,0,3
vector,index,1000,3289575,328,0,3
vector,iterator,1000,181870,18,0,3
vector,for_each,1000,176786,17,0,3
array,random,1000,65056522,6505,6,3
vector,random,1000,80633080,8063,8,3
vector,std::for_each,50,173812,17,0,3
vector,std::for_each,1000,169660,16,0,3
array,index,50,1071178,107,2,0
vector,index,50,4786490,478,9,0
vector,iterator,50,7541244,754,15,0
vector,for_each,50,4117378,411,8,0
array,random,50,4167170,416,8,0
vector,random,50,7248515,724,14,0
array,index,1000,20565289,2056,2,0
vector,index,1000,91623201,9162,9,0
vector,iterator,1000,147530247,14753,14,0
vector,for_each,1000,71043665,7104,7,0
array,random,1000,79932268,7993,7,0
vector,random,1000,136678032,13667,13,0
vector,std::for_each,50,4463401,446,8,0
vector,std::for_each,1000,81136616,8113,8,0
array,index,50,280857,28,0,1
vector,index,50,391856,39,0,1
vector,iterator,50,295130,29,0,1
vector,for_each,50,294628,29,0,1
array,random,50,3285435,328,6,1
vector,random,50,4259081,425,8,1
array,index,1000,5330408,533,0,1
vector,index,1000,7933916,793,0,1
vector,iterator,1000,2850643,285,0,1
vector,for_each,1000,5334030,533,0,1
array,random,1000,70405418,7040,7,1
vector,random,1000,76562613,7656,7,1
vector,std::for_each,50,290915,29,0,1
vector,std::for_each,1000,5206880,520,0,1
array,index,50,161756,16,0,2
vector,index,50,324714,32,0,2
vector,iterator,50,167337,16,0,2
vector,for_each,50,167046,16,0,2
array,random,50,3680796,368,7,2
vector,random,50,3629754,362,7,2
array,index,1000,164585,16,0,2
vector,index,1000,2874854,287,0,2
vector,iterator,1000,167800,16,0,2
vector,for_each,1000,167761,16,0,2
array,random,1000,61526271,6152,6,2
vector,random,1000,76386496,7638,7,2
vector,std::for_each,50,165380,16,0,2
vector,std::for_each,1000,163938,16,0,2
array,index,50,167875,16,0,3
vector,index,50,339913,33,0,3
vector,iterator,50,164223,16,0,3
vector,for_each,50,167783,16,0,3
array,random,50,3678113,367,7,3
vector,random,50,3761104,376,7,3
array,index,1000,167755,16,0,3
vector,index,1000,2877817,287,0,3
vector,iterator,1000,163686,16,0,3
vector,for_each,1000,163501,16,0,3
array,random,1000,61448562,6144,6,3
vector,random,1000,77311252,7731,7,3
vector,std::for_each,50,163604,16,0,3
vector,std::for_each,1000,165335,16,0,3
array,index,50,1035456,103,2,0
vector,index,50,4823911,482,9,0
vector,iterator,50,7599934,759,15,0
vector,for_each,50,4139179,413,8,0
array,random,50,4183374,418,8,0
vector,random,50,7345321,734,14,0
array,index,1000,20473110,2047,2,0
vector,index,1000,89444666,8944,8,0
vector,iterator,1000,144146291,14414,14,0
vector,for_each,1000,71049409,7104,7,0
array,random,1000,80282084,8028,8,0
vector,random,1000,142467590,14246,14,0
vector,std::for_each,50,4580032,458,9,0
vector,std::for_each,1000,83361781,8336,8,0
array,index,50,289439,28,0,1
vector,index,50,398609,39,0,1
vector,iterator,50,294529,29,0,1
vector,for_each,50,294598,29,0,1
array,random,50,3393696,339,6,1
vector,random,50,4179902,417,8,1
array,index,1000,5201068,520,0,1
